#counter ; numSamples ; MEAN; VAR; STD; CVAR; MIN; MAX
Service Time for Customer;909;11000.0;0.0;0.0;0.0;11000.0;11000.0
Waiting Time for Customer;909;454000.0;6.893250000000002E10;262549.9952390021;0.5783039542709297;Infinity;908000.0
