#counter ; numSamples ; MEAN; VAR; STD; CVAR; MIN; MAX
Queue Occupancy;10000;453.9546;68877.27826666666;262.44480994423697;0.5781300816078017;0.0;908.0
Service Time for Customer;18180;5500.5;3.0246163955388084E7;5499.651257615166;0.999845697230282;1.0;11000.0
Server Utilisation;10000;1.0;0.0;0.0;0.0;1.0;1.0
Waiting Time for Customer;9090;4544500.0;6.886432500000002E12;2624201.307064685;0.5774455511199659;Infinity;9089000.0
